"CHPH-00787" "CHPH-00788" "CHPH-00794" "CHPH-00801" "CHPH-00805" "CHPH-00808" "CHPH-00816" "CHPH-00830" "CHPH-00856" "CHPH-00860" "CHPH-00862" "CHPH-00863" "CHPH-00881" "CHPH-00888" "CHPH-00892" "CHPH-00912" "CHPH-00917" "CHPH-00940" "CHPH-00956" "CHPH-00959" "CHPH-00963" "CHPH-00965" "CHPH-00989" "CHPH-01007" "CHPH-01015" "CHPH-01016" "CHPH-01018" "CHPH-01100" "CHPH-01111" "CHPH-01171" "CHPH-01176" "CHPH-01188" "CHPH-01189" "CHPH-01198" "CHPH-01206" "CHPH-01225" "CHPH-01275" "CHPH-01281" "CHPH-01283" "CHPH-01287" "CHPH-01298"
"6-oxolithocholate" -0.0733489229111111 -1.52724355068279 -0.0942041196321315 -0.400990760176656 -0.421017157297209 0.0145625381276101 0.0629202637326633 -1.52724355068279 -1.00130484168834 0.025428761407241 0.27943878828702 0.247334850657456 -0.00348832784582135 -1.52724355068279 -1.52724355068279 -0.914709421769935 0.125481265700594 -1.06803388527183 -0.660151216962363 -0.945004138470859 -1.52724355068279 -0.382685066701706 -1.19997064075587 -0.824198367151721 -0.814174640387038 -1.52724355068279 -1.52724355068279 -0.584692707774433 -0.544241796895863 0.753222912415633 -0.33752549624969 0.461843544264293 -1.52724355068279 -1.52724355068279 -1.52724355068279 -1.52724355068279 -1.52724355068279 -1.28066871301627 -1.52724355068279 -1.52724355068279 -0.649751981665837
"adipate (C6-DC)" -0.88907375773358 -0.750557038557418 -0.118387127521652 0.172077256969481 0.481829451263999 0.0626947733423935 0.571929997874555 -0.617622696531886 -0.812479279163537 -0.176265011601269 0.315529533213849 -0.266963317066421 0.351274376359436 -0.744968836654449 -0.653647025549361 -0.0646943097100748 0.286074553875574 -1.08565684288056 0.27004964326716 -1.36251027048749 -1.30891850787703 0.0719556103029803 -0.689944262249109 1.73661399348488 -1.36251027048749 -0.868381335650874 -0.938170692705301 1.8567222460493 -0.205093893483196 -0.347077112432058 -0.64569943765464 0.108700296894465 -0.514704561273911 -0.132768285481106 -0.203911571319331 0.394836771279156 -0.607303046740334 -0.283078926833239 -0.853561864714225 -0.486249849918176 0.0312872488769981
"carotene diol (2)" 0.172807188369087 -0.766242637034489 0.431813910252937 -0.184156709336733 0.285579810729594 -0.02351246269481 0.424064525417488 -0.113058294016585 -0.530177984021837 0.259546099087022 0.125676410382333 0.686019240213029 0.430349226279516 -1.61618463401957 -0.387746093903563 0.128431581093247 0.564085828596713 -0.577738549186397 -0.279096829186543 -0.475214550678778 -0.319573829141855 0.261239071182586 -0.446723953862901 -0.199557878663743 -0.203633845022479 -0.501827339363456 -0.115148017254002 -0.0406246634241569 -0.289628735739237 0.131394081817373 -0.139961610192807 -0.0116194347779914 -0.48932096896779 -0.0996328713435297 -0.660349842386316 -0.201073261422799 -0.31506491735911 -1.10127481841051 -1.23657200643706 -0.674279141980588 -0.806041021980813
"N-palmitoyltaurine" 0.257990387119331 -1.26841123481326 -1.26841123481326 -1.26841123481326 -1.26841123481326 -1.26841123481326 -1.26841123481326 -0.242603971206976 -1.26841123481326 -1.26841123481326 0.029464946638236 -1.26841123481326 -1.26841123481326 0.72013448586934 -0.103639154530684 -1.26841123481326 -0.330590132712217 -0.645891560852599 -1.26841123481326 -0.110978577904775 0.784339083922805 -1.26841123481326 0.531261715496391 -1.26841123481326 -1.26841123481326 -1.26841123481326 -1.26841123481326 -1.26841123481326 -1.26841123481326 0.714983224819396 -1.26841123481326 -1.26841123481326 -1.26841123481326 -1.26841123481326 -1.26841123481326 -1.26841123481326 0.157154439906282 -1.26841123481326 0.156549151331781 0.712809586827598 -1.26841123481326
"2-isopropylmalate" 0.559475706050631 -0.501689446210399 -0.414990720097539 -0.957818405484234 -0.334794371565399 -0.05576415620652 -0.373454340972871 0.560504415195057 0.0117395613883184 0.614084789740154 -0.316052869248488 1.16189482621896 -0.490663041982356 0.102433705681336 0.359171205716701 -0.573163546196492 -0.646468440922238 -0.124822940185296 1.13623210753119 0.0365889767554045 0.500030534183874 -0.873219422987991 0.194320045303422 1.04265818982945 -0.156144577376839 -0.117134080278371 0.0262471814777735 -0.417028070895194 -0.174638804047367 -0.581201709409646 0.3392526340327 -0.485186705000715 0.209783014848515 0.369957607346053 0.305716711091365 0.952681071205579 0.325248765287537 0.177824971864682 0.0580082327154025 0.679473322529414 -0.412625827926935
"5-methylnorleucine" 0.122314197968806 -0.0942041196321315 0.00817418400642636 0.855276803830092 -0.00718147993332044 0.0959361021807853 0.0286119150662299 0.616139291308727 0.40064158605651 0.121132889998409 -0.0106836950100486 0.00483706093830984 0.0322963447394728 0.97903365390824 0.349704810656211 0.409205874189573 -0.199351644636012 0.317854489331469 0.595716619943424 0.337898325645036 0.265195306285717 -0.109578981199086 1.07169426318412 0.000303899784812458 0.797869732706836 0.439000924079503 0.168261710182875 -0.209574082608889 0.142764774638725 0.0281237151288402 0.255899366730459 -0.0387213209149569 0.504144509308366 -0.0523212600630634 0.138429020006004 0.0973267357157728 0.178861887156875 1.54274951212002 1.47594126745111 2.1609955473696 -0.193209728415933
"3-hydroxyvalerate" -1.0329202658555 -1.0329202658555 -0.0104611966794976 0.0998532198843815 0.0946807133711542 -0.19825338078054 -0.0955549589230903 0.830838781064331 -0.0879906244130217 -0.490663041982356 -0.0406246634241569 -0.526513029935432 0.0969100130080564 1.86114713669157 0.557627488426827 0.020154031638333 0.0159043778955535 0.112672017117132 0.294025094095323 0.127072387119455 0.128205343962674 0.506680879300108 0.784410436481357 0.103906298088718 0.0166991380649714 -1.0329202658555 -1.0329202658555 -0.273028416317123 0.212959589036736 -0.0467720284401461 0.201670179646582 -0.0291419430034977 0.415941079745873 -0.339324211661476 -1.0329202658555 -1.0329202658555 0.412477347665236 0.736157375273132 0.959461166467472 1.34077119980994 0.142796035713556
"ergothioneine" 0.086964573877051 -1.0395292224657 -0.539402811102399 -0.810509686300632 -1.0395292224657 -0.753501419204199 -1.0395292224657 0.214949760615447 0.179321944913777 -1.0395292224657 -1.0395292224657 -1.0395292224657 -1.0395292224657 0.676629603616449 -0.0943659986730453 -1.0395292224657 -1.0395292224657 0.563338670413005 -1.0395292224657 0.468347330412157 -0.0104611966794976 -0.243211801231882 1.20903219683653 -1.0395292224657 0.39411882769457 0.302179353813201 0.642415053361049 -1.0395292224657 0.156549151331781 -1.0395292224657 -0.705533773838407 -1.0395292224657 0.35896222304459 -0.735890843694192 -0.0246141510105327 0.401658972495152 0.906227263052359 -1.0395292224657 0.944334591970782 0.101987518558299 -0.0401956834916621
"4-hydroxybenzoate" 0.778794976552835 -0.0387688029553369 -0.529442514782726 -0.154591860378207 -0.345534666479854 -0.0695094346937304 -0.886056647693163 0.0250189722827595 0.337898325645036 -0.310513551635752 -0.247797846823479 0.599664778788417 -0.285837953901147 0.439127342442846 0.578134722947836 0.263304600287296 -0.120273503360423 0.025756314534414 0.859132290413682 0.411518695500651 0.383976850430933 0.0309638423782752 0.465903098173303 -0.0863980502708426 -0.146666894997665 -0.124707174628992 -0.326242063450423 -0.570409197776698 0.485934263771752 0.426706406046314 0.316829691494308 -0.0441679897675782 0.862316273039543 1.22384624647712 0.256453144939036 -0.183891329260096 0.587901698483422 0.829503180806609 0.491669793508665 0.838206615208488 0.199398602359617
"isocaproate (i6:0)" 0.322488060518078 -1.23507701535011 0.0485194879226541 0.585675003786888 0.176814480674777 -0.480697150764571 0.709566740542544 1.43900408498712 -0.368860749743189 0.134559577422625 -0.251889532505016 -0.0155176935977373 -0.543785844642011 2.3714594747206 1.49012991460262 0.94702668648518 -0.176265011601269 0.930821728079435 1.03935462270616 -0.788078915691491 1.39437462174334 -1.23507701535011 2.07485592016721 -1.23507701535011 -0.224389551993639 -0.587707490676953 -1.23507701535011 -1.23507701535011 -0.515130967279598 -0.70245833218184 0.370698092575577 0.278433476537416 0.857332496431269 -0.499077760809699 -0.71331903064507 -0.739928612014925 0.13155450976124 1.94087492874558 2.18350074152152 2.78183813396295 -0.0443122496864942
